AccountID,SeeLoadSAID,FranklinSAID,SeeLoadDRUID,FranklinDRUID,SeeLoadSPID,FranklinSPID
4382554257,9602066048,9602066048,8140065496,8140065496,6572125203,6572125203
8874367272,9656583846,9656583846,3482765097,3482765097,1925072059,1925072059
7198000514,0774347611,0774347611,0670321883,0670321883,7715146286,7715146286
8806887145,6400472506,6400472506,2736411387,2736411387,0912902273,0912902273
9724476573,4551861938,4551861938,1856872050,1856872050,0333665617,0333665617
4600973168,4325028598,4325028598,3400636306,3400636306,6008880308,6008880308
7145925313,7042437437,7042437437,2739498887,2739498887,3374420373,3374420373
7038094084,4279314312,4279314312,4924491048,4924491048,9564612687,9564612687
8031561078,0876568678,0876568678,7335417053,7335417053,9434485402,9434485402
8734524854,4370016883,4370016883,1936338589,1936338589,7324605070,7324605070
9297885886,6560531003,6560531003,5005052417,5005052417,2428303927,2428303927
